Category,Sub-Category,Description
ENG Odoo,Wall Repainting (Less than 20sqm),Any tickets releated for repainting walls covering an area of less than 20 square meters.
ENG Odoo,Base Board Repair/Repainting,Any tickets involving the repair or repainting of baseboards.
ENG Odoo,Fire Extinguisher Checking,Requests for inspection and maintenance of fire extinguishers.
ENG Odoo,Cleaning/Unclogging of Sanitary Line,Clearing clogs or obstructions in sanitary line
ENG Odoo,Assist Vendor/Clients & Others,"Requests for assistance to vendors, clients, or other parties."
ENG Odoo,Request for Measurements / Count / Inspection / Inventory,
ENG Odoo,Outlet Installation,Requests for the installation of new electrical outlets.
ENG Odoo,Electricity Consumption Computation,Requests for calculating electricity consumption.
ENG Odoo,Wall Repainting (Above 20sqm),Any tickets for repainting walls covering an area of 20 square meters or more.
ENG Odoo,Cabinet/Joineries Repair,Any tickets Requests for repair work on cabinets or joineries within the premises.
ENG Odoo,Door Laminate Repair,Any tickets involving the repair or replacement of laminates on door
ENG Odoo,Door Jamb Repair/Repainting,Any Tickets concerning the repair or repainting of door jambs
ENG Odoo,Escutheon Plate Installation,Installation of escutcheon plates for fire safety equipment.
ENG Odoo,Office Wall Demolition,removal of office walls.
ENG Odoo,Workstation Installation,Setting up office workstations.
ENG Odoo,Workstation Dismantling,dismantling office workstations.
ENG Odoo,Furniture Set-up,Setting up office furniture.
ENG Odoo,Workstation Partition Installation,Installation of workstation partitions.
ENG Odoo,Workstation Partition Dismantling,removal of workstation partitions.
ENG Odoo,Request for Hauling/Delivery of Assets,Requests for hauling or delivery of assets.
ENG Odoo,Request for Join Inspection/Punchlist/Turn-Over,
ENG Odoo,Lighting Upgrade,Requests for upgrading lighting fixtures or systems.
ENG Odoo,Floor Crack Rectification,Any Tickets concerning the repair or correction of cracks in floors.
ENG Odoo,Request to Update Plans/Layout,Requests to update plans or layouts.
ENG Odoo,Aircon Water Leak,Reporting and addressing water leakage issues in air conditioning systems.
ENG Odoo,Temperature adjustment/reading,
ENG Odoo,Acoustic Board Replacement/Realignment,Any tickets for the replacement or realignment of acoustic boards within the space.
ENG Odoo,Troubleshooting of Defective Smoke Detector,Diagnosing and resolving issues with smoke detectors.
ENG Odoo,Loose outlet/wiring,
ENG Odoo,Smart plug set-up,
ENG Odoo,Exhaust system checking,
ENG Odoo,Exit signage replacement/checking,
ENG Odoo,Instalaltion of FE signage,
ENG Odoo,Lux reading verifcation,
ENG Odoo,Installation of transfer fan/duct,
ENG Odoo,Mechanical: Others,
ENG Odoo,Acoustic Panel installation/replacement,
ENG Odoo,Installation of frosted stickers,
ENG Odoo,Door knob repair/replacement,
ENG Odoo,Ceiling/window leak rectification,
ENG Odoo,Carpet installation/realignment,
ENG Odoo,Frames/decals installation,
ENG Odoo,Civil: Others,
ENG Odoo,Checking of emergency light,
ENG Odoo,Checking of panic door lock,
ENG Odoo,Plumbing: Others,
ENG Odoo,Hauling of debris and disposal,
ENG Odoo,Glass/wooden panel/door dismantling,
ENG Odoo,Door installation,
ENG Odoo,Costing Request,
ENG Odoo,Releasing of R&M materials,
ENG Odoo,Review of PCF & CC liquidation,
ENG Odoo,Payment/reimbursement processing,
ENG Odoo,Purchase of materials,
ENG Odoo,Support: Others,
ENG Odoo,Aircon Sytem - Repair/Parts replacement/System reprocess,
ENG Odoo,Reconditioning of expired/overdue fire extinguishers,
ENG Odoo,Checking of FM200 system,
ENG Odoo,Installation/additional evacuation plan,
ENG Odoo,Fire Protection: Others,
ENG Odoo,Electrical system reconfiguration,
ENG Odoo,Additional airconditioning system,
ENG Odoo,Upgrade/replacement of lights for WEM standards,
ENG Odoo,Office Modification (MEPF),
ENG Odoo,Bio Repair,Any ticket related to the biometric device and magnetic lock checking and repair request
ENG Odoo,Bio Installation/Uninstallation,Any request related to the biometric device and magnetic lock installation and uninstallation
ENG Odoo,CCTV Installation/Uninstallation,Any ticket related to the CCTV and DVR installation and uninstallation
ENG Odoo,CCTV Repair,Any ticket related to the CCTV and DVR checking and repair request
ENG Odoo,General Cabling Works,Any ticket related to cabling works which is not included on the list
ENG Odoo,Port Additional,Any request related to additional port/cable
ENG Odoo,Port Relocation,Any request related to port/cable relocatio
ENG Odoo,Port Repair,Any ticket related to port repair
ENG Odoo,Quotation Request,ny ticket related to quotation/costing request
ENG Odoo,Site Build Layout,"Any request related for new site builds layout (CCTV, Speaker)"
ENG Odoo,Switch Backup Power Supply,Any request related to power supply
ENG Odoo,UPS Preventive Maintenance,Any request related to UPS Semi Annual Preventive maintenance
ENG Odoo,UPS/PDU Failure,Any issue related to PDU/PS
Email Security,Malicious Email,Emails that are malicious in nature.
Email Security,Phishing Incident,Tickets related to a phishing attempt or incident.
Email Security,Spam,Any tickets related to any forms of spamming.
Email Security,Vulnerability Assessment,
Email Security,Vulnerability Remediation,
Email,Access Request,"Request to access any O365 resource (email account, SharePoint folder)."
Email,Calendar and Events Management,All tickets related to the Calendar and Events Management in O365.
Email,Distrolist / Mailbox,"Tickets related to the distribution lists and mailboxes (creation, member update, access)."
Email,Email Detail Update,"Request to update/edit a user’s email account (display name, email address, job title, etc)."
Email,Email Issue,Any issue within the O365 solutions.
Email,Email Storage,Ticket related to the email storage.
Email,License Request/Removal,Request to provision/remove a license.
Email,MFA Request/Concern,Tickets related to the O365 multi-factor authentication (MFA).
Document Controller,DC Request for Document number of new ISO process,Tickets for requesting document numbers for new ISO processes.
Document Controller,DC Request to update/upload ISO process,Tickets for requesting updates or uploads of ISO processes.
Document,Diagram Creation/Update,"Any ticket task to create or update a diagram (network, power, rack, etc)"
Document,Floorplan Creation/Update,Any ticket task to create or update a floorplan
Document,Infographics,Any ticket task to create or update an infographic or job aid
Document,Knowledgebase,Any ticket task to create or update a knowledgebase
Document,Other Documentations,Any ticket related to documentations that are not available in this category
Document,Process Plan,Any ticket task to create a new process plan
Document,Process Update,Any ticket task to update an existing process plan
Document,Security Questionnaire,
Development,OSP,
Development,ERP,
Development,Client Portal,
Development,CATS,
Development,BDMS,
Development,EPICOS,
Development,VMS,"Any request or issue related to access request, tablet issue, test tickets from Dev"
Development,HDF,
Development,KMC Hub,
Development,New Development Request,
Development,Manatal,"Any request or issue related to recruiter update, job request approver update, manatal sync issue, test tickets from Dev"
Deployment / Movement,Movement Request,Request for IT asset movement.
Deployment / Movement,Deployment Request,Request for IT asset deployment.
Delivery Confirmation,Delivery Dates,Any ticket related to Managing delivery dates for orders placed by Zoom clients.
Delivery Confirmation,Notice of Incomplete Delivery,"Any ticket related to Notification regarding incomplete deliveries, specific to Zoom clients."
Delivery Confirmation,Delivery Documents,Any ticket related to Management of delivery-related documents for Zoom clients.
Data Security Incident,NT Login Password Reset,An internal employee reporting a lost or stolen laptop/desktop
Data Security Incident,Email Password Reset,Any stolen/lost asset incident will require an email password reset for security purposes
Data Security Incident,Asset Item Deployed,Any incident (lost/stolen asset) that needs to collate assets deployed
CS Work Permit,Work Permit,Processing requests for work permits.
CS Support,Supplies Request,Requests for office supplies.
CS Support,Printing/Scan request,Requests for printing or scanning documents.
CS Support,Cleaning request,Requests for cleaning services within the premises.
CS Support,Messengerial /Courier Service Request,Requests for messenger or courier services.
CS Support,Other Admin Service Request,
CS Support,Access Cards Requests,
CS Support,Parking / Car pass Requests,Requests for parking permits or car passes.
CS Support,Storage Request,Requests for storage space or services.
CS Support,Planned activities,Coordination of planned activities or events.
CS Support,Repairs Request,
CS Support,Photo / Video Request,Requests for photography or videography services.
CS Support,Client Viewing Request,Requests for scheduling client visits or tours.
CS Shuttle,Shuttle Booking,Booking shuttle services
CS Shuttle,Van Repairs & Maintenance,Coordination of van repairs and maintenance
CS Room Reservation,Boardroom / Training Room,
CS Room Reservation,Other Meeting Rooms / Rental Space,
CS Room Reservation,Skydeck,
CS Reports,Checklists and Reports,
CS Odoo,Power Outage,Reporting and addressing power outages within the premises.
CS Odoo,Security Breach/ Theft,Reporting incidents of security breaches or theft.
CS Odoo,AC Concerns,Addressing concerns related to air conditioning systems.
CS Odoo,Work Permit,Processing requests for work permits.
CS Odoo,Move Out Request,Requests for moving out of the premises.
CS Odoo,Move In Request,Requests for moving into the premises.
CS Odoo,Furniture Move,Requests for moving furniture within the premises.
CS Odoo,Office Set-up,Requests for setting up office spaces.
CS Odoo,Supplies Request,Requests for office supplies.
CS Odoo,Photo / Video Request,Requests for photography or videography services.
CS Odoo,Client Viewing Request,Requests for scheduling client visits or tours.
CS Odoo,Printing/Scan request,Requests for printing or scanning documents.
CS Odoo,Storage Request,Requests for storage space or services.
CS Odoo,Cleaning request,Requests for cleaning services within the premises.
CS Odoo,Parking / Car pass Requests,Requests for parking permits or car passes.
CS Odoo,Planned activities,Coordination of planned activities or events.
CS Odoo,Medical Emergency,Handling medical emergencies within the premises.
CS Odoo,Medical Certificate Validation,Validating medical certificates.
CS Odoo,HMO Enrollment,Assisting with Health Maintenance Organization (HMO) enrollment.
CS Odoo,HMO Cancellation,Handling requests for canceling HMO memberships.
CS Odoo,HMO Account Update,Updating information related to HMO accounts.
CS Odoo,Messengerial /Courier Service Request,Requests for messenger or courier services.
CS Odoo,New Office Transfer,Handling requests for transferring to a new office locat
CS Odoo,Reservation (Rooms & Event Space),Managing reservations for rooms or event spaces.
CS Odoo,Shuttle Booking,Booking shuttle services
CS Odoo,Van Repairs & Maintenance,Coordination of van repairs and maintenance
CS Odoo,Repairs and Maintenance Request,Handling general repair and maintenance requests
CS Odoo,Visitor Access Request,Managing requests for visitor access
CS Odoo,Approval Request,Handling requests for approvals
CS Odoo,Costing Request,Requests for cost estimations or quotations
CS Odoo,Info or Document Request,Requests for information or documents
CS Odoo,Phone / Sim Requests,Handling requests related to phones or SIM cards
CS Odoo,Orientation / Training Request,Requests for orientation or training sessions
CS Odoo,Assistance,Providing general assistance as needed
CS Odoo,Access Cards / Room or Office Access Requests,Managing requests for access cards or office access
CS Odoo,PME Concerns,Addressing concerns related to Performance Management Evaluation (PME).
CS Odoo,APE Concerns,Addressing concerns related to Annual Performance Evaluation (APE).
CS Odoo,Safety Concerns,Reporting safety concerns within the premises.
CS Odoo,Other Medical Concerns,Handling other medical-related concerns.
CS Odoo,Checklists & Reports,Managing checklists and generating reports as needed.
CS Odoo,SSS Concerns,Addressing concerns related to Social Security System (SSS).
CS Odoo,New Hire Kit Request,Handling requests for new hire kits.
CS Odoo,Invoices,Handling inquiries or requests related to invoices.
CS Odoo,Gatepass Request,Handling requests for pull in/out gatepasses.
CS Movement,Move Out Request,Requests for moving out of the premises.
CS Movement,Move In Request,Requests for moving into the premises.
CS Movement,Furniture Move,Requests for moving furniture within the premises.
CS Movement,Office Set-up,Requests for setting up office spaces.
CS Medical,Medical Emergency,Handling medical emergencies within the premises.
CS Medical,Medical Certificate Validation,Validating medical certificates.
CS Medical,Medical Concerns,
CS Medical,Health declaration Concerns,
CS HMO,HMO Enrollment,Assisting with Health Maintenance Organization (HMO) enrollment.
CS HMO,HMO Cancellation,Handling requests for canceling HMO memberships.
CS HMO,HMO Account Update,Updating information related to HMO accounts.
CS Gatepass,Pull-in Gatapass,
CS Gatepass,Pull-out Gatepass,
CS Emergency,Power Outage,Reporting and addressing power outages within the premises.
CS Emergency,Security Breach/ Theft,Reporting incidents of security breaches or theft.
CS Emergency,AC Concerns,Addressing concerns related to air conditioning systems.
CS Checklist,CS checklists,
CS Admin Support,Messengerial /Courier Service Request,Requests for messenger or courier services.
CS Admin Support,Cleaning request,Requests for cleaning services within the premises.
CS Admin Support,Storage Request,Requests for storage space or services.
CS Admin Support,Printing/Scan request,Requests for printing or scanning documents.
CS Admin Support,Supplies Request,Requests for office supplies.
CS Admin Support,Planned activities,Coordination of planned activities or events.
CS Admin Support,Parking / Car pass Requests,Requests for parking permits or car passes.
CS Admin Support,Access Cards Requests,
Compliance,Delisting,Ticket to process the delisting/deregistration of a site.
Compliance,Farm-In,Ticket to process the farm-in PEZA permit.
Compliance,Farm-Out,Ticket to process the farm-out PEZA permit thru disposal and movement only.
Compliance,ITH,Request for IT assistance to process the income tax holiday activity.
Compliance,Report Generation,Request to generate a report related to IT PEZA compliance.
Circuit,Disconnect,Ticket to disconnect links or dedicated BW service.
Circuit,Order,Request for dedicated/separate link or dedicated BW.
Circuit,Provisioning,Ticket to turn up CKT order.
Circuit,Upgrade,Upgrade request for an existing CKT.
Checklist,Common Area and Conference Room Checking,Ticket for updating the common are and conference room checklist.
Checklist,Daily Checking,Ticket for updating the daily checklist.
Checklist,Server Room Checking,Ticket for updating the server room daily and temperature checklist.
Checklist,Server Room Log Sheet Checking,Ticket for updating the server room log sheet.
CCTV,Camera Rotate/Disable Request,Request to rotate/disable a CCTV.
CCTV,CCTV Checking,Ticket for weekly checking of CCTV.
CCTV,CCTV Footage Extraction,Request for an extraction of a CCTV footage.
CCTV,CCTV Issue,Tickets related to a CCTV issue.
CCTV,CCTV Viewing Assistance,Ticket for the On-site Support to assist the client in viewing the CCTV footage they requested.
CCTV,DVR Password Reset,Ticket to update the password of the DVR.
CCTV,General CCTV Inquiry,Other CCTV-related inquiries.
CASA,Deployment Request,Request for IT asset deployment.
CASA,CASA IT support,Any request related to CASA desktop/laptop support
Canvassing,New - Item / Service,Any ticket related to Adding new items or services tailored to the requirements of Zoom clients.
Canvassing,Reorder - Item / Service,Any ticket related to Reordering of items or services specifically for Zoom clients.
Canvassing,Canvassing,Any ticket related to Conducting canvassing activities tailored to the needs of Zoom clients.
C&B - SWAT,Request for Enrollment in the System,Tickets for processing requests for enrollment in the company's compensation and benefits system.
C&B - SWAT,SWAT ATD-related concern,Tickets related to concerns or inquiries regarding the SWAT ATD system
C&B - SWAT,Other SWAT-related inquiries,Tickets for handling inquiries or concerns related to the SWAT system
C&B - SSS,Request for SSS Certificate of Contri,Tickets for processing requests for certificates of contribution from the Social Security System (SSS).
C&B - SSS,Request for SSS Approval Online,Tickets related to requesting approvals from the Social Security System (SSS) through online platforms.
C&B - SSS,SSS Loan Status Request,Tickets for inquiring about the status of Social Security System (SSS) loans.
C&B - SSS,SSS Request for Continuation of Loan (from previous ER),Tickets for requesting the continuation of loans from previous employers under the Social Security System (SSS).
C&B - SSS,Sickness Notifications,Tickets for processing notifications related to sickness or medical leave benefits.
C&B - SSS,Expanded maternity benefits,Tickets related to processing requests or inquiries regarding expanded maternity benefits.
C&B - SSS,SSS Related Concern Feedback,Addressing feedback or concerns related to services provided by the Social Security System (SSS).
C&B - Sprout Loans,Instacash application-related concerns,Any tickets related to Handling inquiries or concerns related to the company's Instacash application.
C&B - PHILHEALTH,CF1 Form MDR Request,Any tickets related to Processing requests for CF1 Form Member Data Record (MDR) from the Social Security System (SSS).
C&B - PHILHEALTH,Certificate of Contribution - Philhealth,Any tickets related to Providing certificates of PhilHealth contributions to employees.
C&B - PHILHEALTH,Philhealth Related Concern Feedback,Any tickets related to Addressing feedback or concerns related to PhilHealth services provided by the company.
C&B - Payroll,Viewing of pay slip in HRIS,Any tickets related to Assisting employees with accessing and viewing their payslips through the Human Resource Information System (HRIS).
C&B - PAG-IBIG,Request for Pagibig Contribution Certificate,Any tickets related to Processing requests for certificates of Pag-IBIG Fund contributions.
C&B - PAG-IBIG,Pag ibig Loan Approval (Sign),Any tickets related to Facilitating the signing of documents related to Pag-IBIG Fund loan approvals.
C&B - PAG-IBIG,Pag ibig Loan Status Request,Any tickets related to Providing updates on the status of employee Pag-IBIG Fund loans.
C&B - PAG-IBIG,Pag-Ibig Related Concern Feedback,Any tickets related to Addressing feedback or concerns related to Pag-IBIG Fund services provided by the company.
C&B - MyTown Housing,Employee Housing Subsidy inquiries,Any tickets related to Assisting employees with inquiries related to housing subsidies provided by the company.
C&B - Mental Health,Benefits availment inquiries,Any tickets related to Assisting employees with inquiries regarding the availment of benefits offered by the company.
C&B - Mental Health,Other mental health benefits-related inquiries,Any tickets related to Handling inquiries related to mental health benefits provided by the company.
C&B - INTERNAL LOANS,Bank Loan Status,Any tickets related to Providing updates on the status of employee bank loans.
C&B - HMO,HMO Enrollment upon Hire,Any tickets related to Assisting new hires with the enrollment process for Health Maintenance Organization (HMO) benefits.
C&B - HMO,HMO Related Concerns Feedback via email,Any tickets related to Addressing feedback or concerns related to HMO benefits via email communication.
C&B - HMO,HMO Dependent Enrollment,Any tickets related to Assisting employees with the enrollment of their dependents in the company's HMO program.
C&B - Final Pay,Computation of Final Pay,Any tickets related with the computation of final pay for employees leaving the company.
C&B - Final Pay,Request for 2316 for resigned employee,Any tickets requests for BIR Form 2316 for resigned employees.
C&B - BIR,Request for 2316 for existing employee,Any tickets related to Processing requests for BIR Form 2316 for current employees.
C&B - ATM,Availability of ATM Card,Any tickets related to inquiries regarding the availability of their ATM cards.
C&B - ATM,ATM Related Concern Feedback,Any tickets related to Addressing feedback or concerns related to ATM services provided by the company.
BTS SPACE PLANNING REQUEST,Initial Testfit (Existing BTS or Service Office Modification),Any ticket related to initial space planning or testfitting of existing BTS or Service Office properties undergoing modification.
BTS SPACE PLANNING REQUEST,Revise Testfit (Existing BTS or Service Office Modification),Any ticket related to revising previously conducted testfits or space plans for existing BTS or Service Office properties undergoing modification.
BTS SPACE PLANNING REQUEST,Initial Testfit (New BTS or KMC Suites) <1000 sqm,Any ticket related to initial space planning or testfitting of new BTS or KMC Suites properties with a floor area of less than 1000 square meters.
BTS SPACE PLANNING REQUEST,Initial Testfit (New BTS or KMC Suites) >1000 to 5000 sqm,Any ticket related to initial space planning or testfitting of new BTS or KMC Suites properties with a floor area ranging from more than 1000 to 5000 square meters.
BTS SPACE PLANNING REQUEST,Initial Testfit (New BTS or KMC Suites) >5000 sqm,Any ticket related to initial space planning or testfitting of new BTS or KMC Suites properties with a floor area exceeding 5000 square meters.
BTS SPACE PLANNING REQUEST,Revise Testfit (New BTS or KMC Suites) <1000 sqm,Any ticket related to revising previously conducted testfits or space plans for new BTS or KMC Suites properties with a floor area of less than 1000 square meters.
BTS SPACE PLANNING REQUEST,Revise Testfit (New BTS or KMC Suites) >1000 to 5000 sqm,Any ticket related to revising previously conducted testfits or space plans for new BTS or KMC Suites properties with a floor area ranging from more than 1000 to 5000 square meters.
BTS SPACE PLANNING REQUEST,Revise Testfit (New BTS or KMC Suites) >5000 sqm,Any ticket related to revising previously conducted testfits or space plans for new BTS or KMC Suites properties with a floor area exceeding 5000 square meters.
BTS SITE INSPECTION / AUDIT REQUEST,Around Metro Manila - BTS / KMC Suites / SO,Any ticket related to related to testfits or space planning activities within Metro Manila.
BTS SITE INSPECTION / AUDIT REQUEST,Outside of Metro Manila - BTS / KMC Suites / SO,Any ticket related to elated to testfits or space planning activities outside of Metro Manila.
BTS Project Design Management,Initial Bid / BOM Review,Any ticket related to pertaining to the initial review of bids or Bills of Materials (BOM) for construction projects.
BTS Project Design Management,Revised Bid / BOM Review,Any ticket related to review of revised bids or Bills of Materials (BOM) following updates or modifications to project requirements.
BTS Project Design Management,MEPF Design Review,"Any ticket related to reviewing Mechanical, Electrical, Plumbing, and Fire Protection (MEPF) designs for construction projects."
BTS Project Design Management,Site Coordination Meetings,"Any ticket related to coordinating and scheduling meetings with site personnel, contractors, and stakeholders to discuss project progress and coordination efforts."
BTS Project Design Management,Site Walkthrough / Punchlisting,Any ticket related to on-site walkthroughs for inspection and identification of punch list items or deficiencies that need to be addressed.
BTS Project Design Management,Site Accessorizing,"Any ticket related to related to accessorizing or enhancing the aesthetics and functionality of construction sites, including the addition of temporary structures or amenities."
BTS OSM Request,OSM Checklist & Coordination,Any ticket related to preparation of OSM (Occupancy Safety and Maintenance) checklists and coordination of related activities.
BTS OSM Request,Canvassing OSM Alternatives / Vendor Costing Request,Any ticket related to exploring alternatives for OSM compliance and requesting vendor costings for related services or materials.
BTS OFFICE INFO REQUEST,Office Area / Floorplan Copy / PEZA Info (Subject for Verification of P&D),"Any ticket related to related to copying and updating office area floorplans, including PEZA (Philippine Economic Zone Authority) information pending verification by Planning and Design."
BTS OFFICE INFO REQUEST,Printing & Signing + Sealing of PEZA Plans,"Any ticket related to printing, signing, and sealing PEZA plans in compliance with regulatory requirements."
BTS DESIGN REQUEST,Furniture / Joinery Details,Any ticket related to developing detailed designs and specifications for furniture and joinery elements within projects.
BTS DESIGN REQUEST,3d Modeling + Rendering (minimum of 5 areas),Any ticket related to creating 3D models and rendering visualizations for a minimum of five designated areas within a project.
BTS DESIGN REQUEST,3d Modeling without rendering,Any ticket related to 3D modeling tasks without rendering visualization.
BTS DESIGN REQUEST,Revision of renders/3D,Any ticket related to revising and refining previously created renders or 3D models based on client feedback or design iterations.
BTS DESIGN REQUEST,3D Walkthrough (1-3 areas / > 100 sqm),Any ticket related to creating interactive 3D walkthroughs for projects encompassing one to three designated areas larger than 100 square meters each.
BTS DESIGN REQUEST,3D Walkthrough (4-6 areas / > 300-500 sqm),Any ticket related to creating interactive 3D walkthroughs for projects encompassing four to six designated areas ranging from 300 to 500 square meters each.
BTS DESIGN REQUEST,3D Walkthrough (whole floor areas / > 1000 sqm),Any ticket related to creating comprehensive 3D walkthroughs covering entire floor areas exceeding 1000 square meters.
BTS DESIGN REQUEST,Design Pegs & Cost Guide,"Any ticket related to sourcing design inspiration and creating cost guides for projects, including materials, finishes, and aesthetic references."
BTS DESIGN REQUEST,Revision of Cost Guide,"Any ticket related to updating and revising cost guides for projects, including adjustments to material and labor costs."
BTS DESIGN REQUEST,Wall Accent Design / Glass Frosting Design,Any ticket related to designing wall accents or glass frosting elements within projects.
BTS DESIGN REQUEST,Material Board,"Any ticket related to creating material boards, showcasing selected materials and finishes for projects."
BTS DESIGN REQUEST,Furniture and Material Specifications,Any ticket related to involving the detailed specification of furniture and materials to be used in project designs.
BTS DESIGN REQUEST,3D Walkthrough,"Any ticket related to creating immersive 3D walkthroughs of project designs, providing clients with virtual tours of the proposed spaces."
BTS DESIGN REQUEST,Refresh Initial Design,Any ticket related to refreshing and refining the initial design concepts based on client feedback or design iterations.
BTS DESIGN REQUEST,Refresh Revision of Design,Any ticket related to revising and updating design concepts following client feedback or internal reviews.
BTS CLIENT MEETING REQUEST,Client Presentation,"Any ticket related to preparing and delivering presentations to clients, showcasing design concepts and proposals."
BTS CLIENT MEETING REQUEST,Project Scoping / Client Meeting,Any ticket related to scoping meetings or discussions with clients to understand project requirements and objectives.
BTS CLIENT MEETING REQUEST,Site Coordination Meetings,Any ticket related to coordinating meetings with site personnel or stakeholders to discuss design implementation logistics.
Biometric,Access Reactivation,Request to reactivate a user’s biometric access.
Biometric,Access Upload,Request to upload an access to another biometric device.
Biometric,Badge Card Re-assignment,Request to re-assign a badge card to a different user.
Biometric,Badge Card Request,Request for badge card (ITS is already present or not needed).
Biometric,Bio Disable,Request to disable a biometric access.
Biometric,Bio Enrollment,Request for biometric enrollment.
Biometric,Bio ID Request,Request for a bio ID (existing).
Biometric,Biometric Issue,"Ticket related to a biometric, magnetic lock, push button, and exit sensor issue."
Biometric,Device Configuration,Request to configure a setting in the biometric device.
Biometric,General Biometric Services,"Ticket for active list request, monthly audit, and other general inquiry relating to the biometrics."
Biometric,Logs Report Generation,Request for a biologs report.
Biometric,Sprout Migration,Request to sync a biometric device to Sprout.
Billing - Teams,Account Reconciliation,Any ticket related to discrepancies or disagreements in billing charges or invoices.
Billing - Teams,Billing Dispute,Any ticket related return of deposits made by clients.
Billing - Teams,Client Deposit Refund Request,Any ticket related on seeking additional information or documentation related to billing matters.
Billing - Teams,Info or Document Request,Any ticket related on seeking additional information or documentation related to billing matters.
Billing - Teams,New Client for Billing,Any ticket regarding the setup or initiation of billing procedures for new clients.
Billing - Teams,Pro-forma Billing Request,Any ticket related on provisional or preliminary billing statements or invoices.
Billing - Teams,Other Concerns,Any other tickets addressing concerns or issues pertaining to billing.
Billing - Spaces,Billing Dispute,Any ticket related to discrepancies or disagreements in billing charges or invoices.
Billing - Spaces,Pro-forma Billing Request,Any ticket related on provisional or preliminary billing statements or invoices.
Billing - Spaces,Info or Document Request,Any ticket related on seeking additional information or documentation related to billing matters.
Billing - Spaces,New Client for Billing,Any ticket regarding the setup or initiation of billing procedures for new clients.
Billing - Spaces,Account Reconciliation,Any ticket concerning the process of comparing financial records to ensure accuracy and consistency.
Billing - Spaces,Client Deposit Refund Request,Any ticket related return of deposits made by clients.
Billing - Spaces,Customer Setup,Any ticket related to the setup or configuration of customer billing accounts.
Billing - Spaces,Other Request,Any ticket for billing-related inquiries or requests not covered by other categories.
BCP Activation,BCP Testing,BCP testing-related activities.
BCP Activation,Client,BCP activation by an internal employee.
BCP Activation,Internal,BCP activation by a client who availed the BCP service KMC provides.
Asset Management,Accountability Form,Request for accountability form creation.
Asset Management,Disposal,Ticket for disposing IT assets.
Asset Management,Gatepass Processing,Request to process gate pass for KMC-owned assets.
Asset Management,Inventory,"Tickets related to asset keeping, inventory, and tagging."
Asset Management,Issuance Form,Request for issuance form creation.
Asset Management,Item Request,Request for IT equipment and devices.
Asset Management,Report,Ticket for reporting asset issues.
Asset Management,Warranty,Request for warranty checking for KMC-owned assets.
ACCOUNTS PAYABLE,Below 20k invoices (No PO),"Tickets related to processing invoices below the value of 20,000 without a purchase order (PO)."
ACCOUNTS PAYABLE,Client Cash advance,Tickets for processing cash advances provided to clients.
ACCOUNTS PAYABLE,Client Refund,Tickets related to processing refunds for clients.
ACCOUNTS PAYABLE,Confidential Payments Requests,Tickets for processing payments that require confidentiality.
ACCOUNTS PAYABLE,Complicated Report,Tickets for handling requests related to generating or analyzing complex financial reports.
ACCOUNTS PAYABLE,"FORMS (Reimbursement, PCF, Credit Card Liquidation)","Tickets for processing various forms including reimbursement, Petty Cash Fund (PCF), and credit card liquidation."
ACCOUNTS PAYABLE,Internal & External reimb request,Tickets for processing reimbursement requests from both internal and external sources.
ACCOUNTS PAYABLE,Petty Cash Request,Tickets related to processing requests for petty cash disbursements.
ACCOUNTS PAYABLE,PO invoices,Tickets for processing invoices that are associated with purchase orders (PO).
ACCOUNTS PAYABLE,"Recurring bills (rentals, utilities, telco, etc.)","Tickets for processing recurring bills such as rentals, utilities, telecommunications, etc."
ACCOUNTS PAYABLE,Simple Report,Tickets for handling requests related to generating or analyzing simple financial reports.
ACCOUNTS PAYABLE,"Urgent requests (Business permits, other taxes etc.)","Tickets for handling urgent requests such as business permits, tax-related matters, etc."
ACCOUNTS PAYABLE,Other Request,
