Department,Tech Group,Sub-Category,Priority,Description,assistant (For Getlogs only)
Technology Services,NOC Systems,Server Security and Access Control,P3 - Planned,"Requests concerning server security measures, access permissions, and authentication protocols to safeguard server data and resources.",
Technology Services,NOC Systems,Server Upgrade and Hardware Replacement,P3 - Planned,"Requests for server hardware upgrades, component replacements, and technology refreshes.",
Technology Services,NOC Systems,Server VM Management,P3 - Planned,"Requests related to virtual server environments, including provisioning, management, and optimization of virtualized servers.",
Technology Services,NOC Systems,SSL License,P3 - Planned,"Tickets related to SSL license provisioning, renewal, removal.",
Technology Services,NOC Systems,Server New Service Implementation,P4 - Project,"Initiating a server-based project for implementing a new service, ensuring seamless integration and efficient deployment.",
Technology Services,NOC Systems,Server Rebuild,P4 - Project,Initiating a Server Rebuild Project to enhance system performance and security by rebuilding and upgrading server infrastructure.,
Technology Services,NOC Systems,Server Refresh,P4 - Project,"Comprehensive server refresh project implementation to enhance performance, security, and overall system efficiency within the organization's IT infrastructure.",
Technology Services,NOC Systems,Systems Audit,P4 - Project,Initiating a comprehensive systems audit project to assess and enhance the security and efficiency of IT infrastructure.,
Technology Services,NOC Systems,Active Directory Services,P2 - General | P3 - Planned,"Any ticket related to the Active Directory (i.e., Computer, Group Policy, and Security Group)",
Technology Services,NOC Systems,Access Permission,P3 - Planned,Any ticket requesting access to shared drives & VPN,
Technology Services,NOC Systems,Adobe Product,P3 - Planned,"Support or assistance with an Adobe product, such as installation, troubleshooting, or licensing inquiries.",
Technology Services,NOC Systems,BitDefender,P3 - Planned,"Support or assistance with BitDefender, our antivirus and cybersecurity solution, to address security concerns or resolve software-related issues.",
Technology Services,NOC Systems,Joan Services,P2 - General | P3 - Planned,"P3: Add or remove a new device in Joan Services for enhanced functionality and device management.
P2: Any issue related joan syncing in calendar and joan device is not functioning. Initial troubleshooting must assign to OSS first.",
Technology Services,NOC Systems,Kiosk Management,P3 - Planned,"Kiosk tablet management support, including setup, maintenance, and troubleshooting to ensure optimal functionality.",
Technology Services,NOC Systems,Microsoft Dynamics NAV Issue,P2 - General,"Resolve an issue with the Microsoft Dynamics NAV application, ensuring seamless functionality.",
Technology Services,NOC Systems,PaperCut ID,P3 - Planned,Any request for paper cut ID or printer pin ID. This only applies for the printers links to papercut system.,
Technology Services,NOC Systems,Printer Configuration,P3 - Planned,Assistance with the setup and configuration of a printer for seamless and efficient printing operations.,
Technology Services,NOC Systems,Rublon,P3 - Planned,"Assistance with Rublon, a multi-factor authentication solution, to enhance security and access control for user accounts.",
Technology Services,NOC Systems,Sophos - Machine Removal,P3 - Planned,"Removal of a machine from Sophos, the antivirus and security management system, to ensure proper system management and security compliance.",
Technology Services,NOC Systems,NT Login Account Unlock,P2 - General,Login issues that will require an account unlock in the Active Directory.,
Technology Services,NOC Systems,NT Login Creation,P3 - Planned,Request to create an NT login account.,
Technology Services,NOC Systems,NT Login Disable,P3 - Planned,Request to disable an NT login account.,
Technology Services,NOC Systems,NT Login Information Update,P3 - Planned,Request to update an information in a NT login account.,
Technology Services,NOC Systems,NT Login Password Reset,P2 - General,Login issues that will require a password reset in the Active Directory.,
Technology Services,NOC Systems,NT Login Re-enable,P3 - Planned,Request to re-enable an already disabled account in the Active Directory.,
Technology Services,NOC Systems,Diagram Creation/Update,P3 - Planned,"Any ticket task to create or update a diagram (network, power, rack, etc)",
Technology Services,NOC Systems,Floorplan Creation/Update,P3 - Planned,Any ticket task to create or update a floorplan,
Technology Services,NOC Systems,Infographics,P3 - Planned,Any ticket task to create or update an infographic or job aid,
Technology Services,NOC Systems,Knowledgebase,P3 - Planned,Any ticket task to create or update a knowledgebase,
Technology Services,NOC Systems,Other Documentations,P3 - Planned,Any ticket related to documentations that are not available in this category,
Technology Services,NOC Systems,Process Plan,P3 - Planned,Any ticket task to create a new process plan,
Technology Services,NOC Systems,Process Update,P3 - Planned,Any ticket task to update an existing process plan,
Technology Services,On-Site Support,Accountability Form,P3 - Planned,Request for accountability form creation.,
Technology Services,On-Site Support,Inventory,P3 - Planned,"Tickets related to asset keeping, inventory, and tagging.",
Technology Services,On-Site Support,Badge Card Request,P3 - Planned,Request for badge card (ITS is already present or not needed).,
Technology Services,On-Site Support,Bio Enrollment,P3 - Planned,Request for biometric enrollment.,
Technology Services,On-Site Support,Biometric Issue,P2 - General,"Ticket related to a biometric, magnetic lock, push button, and exit sensor issue.",
Technology Services,On-Site Support,Device Configuration,P3 - Planned,Request to configure a setting in the biometric device.,
Technology Services,On-Site Support,Camera Rotate/Disable Request,P3 - Planned,Request to rotate/disable a CCTV.,
Technology Services,On-Site Support,CCTV Issue,P2 - General,Tickets related to a CCTV issue.,
Technology Services,On-Site Support,CCTV Viewing Assistance,P3 - Planned,Ticket for the On-site Support to assist the client in viewing the CCTV footage they requested.,
Technology Services,On-Site Support,Common Area and Conference Room Checking,P3 - Planned,Ticket for updating the common are and conference room checklist.,
Technology Services,On-Site Support,Daily Checking,P3 - Planned,Ticket for updating the daily checklist.,
Technology Services,On-Site Support,Server Room Checking,P3 - Planned,Ticket for updating the server room daily and temperature checklist.,
Technology Services,On-Site Support,Server Room Log Sheet Checking,P3 - Planned,Ticket for updating the server room log sheet.,
Technology Services,On-Site Support,Deployment Request,P3 - Planned,Request for IT asset deployment.,
Technology Services,On-Site Support,Movement Request,P3 - Planned,Request for IT asset movement.,
Technology Services,On-Site Support,Diagram Creation/Update,P3 - Planned,"Any ticket task to create or update a diagram (network, power, rack, etc)",
Technology Services,On-Site Support,Floorplan Creation/Update,P3 - Planned,Any ticket task to create or update a floorplan,
Technology Services,On-Site Support,Infographics,P3 - Planned,Any ticket task to create or update an infographic or job aid,
Technology Services,On-Site Support,Knowledgebase,P3 - Planned,Any ticket task to create or update a knowledgebase,
Technology Services,On-Site Support,Other Documentations,P3 - Planned,Any ticket related to documentations that are not available in this category,
Technology Services,On-Site Support,Process Plan,P3 - Planned,Any ticket task to create a new process plan,
Technology Services,On-Site Support,Process Update,P3 - Planned,Any ticket task to update an existing process plan,
Technology Services,On-Site Support,Email Issue,P2 - General,Any issue within the O365 solutions.,
Technology Services,On-Site Support,Port Checking,P2 - General | P3 - Planned,Tickets related to port checking and issue.,
Technology Services,On-Site Support,Data Center Access,P3 - Planned,Request assistance to access the server room.,
Technology Services,On-Site Support,General Inquiry,P3 - Planned,Any ticket requesting or seeking information or updates. This can be used by all technician groups except those groups that already has the 'General' sub-category on their dedicated category (i.e ACS > TS Biometric > General Biometric Services). Also used for Grab booking assistance.,
Technology Services,On-Site Support,On-site Assistance,P3 - Planned,Other on-site/physical assistance done by the OSS that doesn't have a dedicated category. Only use this if there are no applicable categories/sub-categories,
Technology Services,On-Site Support,Pull In/Out Assistance,P3 - Planned,Request assistance for pulling in and out of IT assets. This is also used for dismantling requests leading to pulling out of assets (WFH employees).,
Technology Services,On-Site Support,Site Walkthrough / Round Check,P3 - Planned,"Ticket for site walkthroughs, site surveys, and round checking.",
Technology Services,On-Site Support,Cable Management,P3 - Planned,Request to do a cable management.,
Technology Services,On-Site Support,Data Center UPS/PDU Issue,P2 - General,Issue with a UPS and PDU in the server room.,
Technology Services,On-Site Support,Desktop UPS Issue,P2 - General,Issue with a desktop UPS.,
Technology Services,On-Site Support,Desktop/Laptop Problem,P2 - General,Any issue with a desktop or laptop.,
Technology Services,On-Site Support,Desktop/Laptop Set-up,P3 - Planned,Request to setup a desktop or laptop.,
Technology Services,On-Site Support,Device/Equipment Checking,P3 - Planned,"Any ticket requesting to check an equipment to determine if the unit is still in good working condition for possible re-deployment or components upgrade. May also be used for asset maintenance | Additional sub-category usage: Physical checking of all kinds of hardware devices (network device, IP phones, biometric devices) to possibly identify their status",
Technology Services,On-Site Support,Equipment Loan/Retrieval,P3 - Planned,"Ticket requesting to borrow IT assets such as laptop, mouse, other peripherals, etc. and retrieval of hardware that's not from a resigned employee",
Technology Services,On-Site Support,Joan Device,P2 - General | P3 - Planned,"Ticket related the Joan device like low battery, charging request, calendar syncing, and other requests/issues. Initial troubleshooting must assign to OSS first.",
Technology Services,On-Site Support,Peripherals,P2 - General | P3 - Planned,"Any request or issue related computer peripherals and cables like HDMI, LAN, etc.",
Technology Services,On-Site Support,Raspberry Pi/Hygrometer,P2 - General | P3 - Planned,"Any request or issue related to the EpicOS, Raspberry Pi, and Hygrometer",
Technology Services,On-Site Support,Sonos,P2 - General | P3 - Planned,Any request or issue related to the sonos device,
Technology Services,On-Site Support,Tablet,P2 - General | P3 - Planned,Any issue or request related to the tablet deployed in the reception area,
Technology Services,On-Site Support,TV/Projector/Sound System,P2 - General | P3 - Planned,"Any request or issue related to the TV, Projector, Speaker, or Mic (ex. projector setup, laptop to TV connection, etc)",
Technology Services,On-Site Support,Video Conference,P2 - General | P3 - Planned,Any request or issue related to the video conferencing device located on boardrooms,
Technology Services,On-Site Support,Connection Issue,P2 - General,Tickets related to an internet issue (LAN & wireless connection).,
Technology Services,On-Site Support,Connection Checking,P3 - Planned,"Request to run network testing (ping test, trace route, speed test).",
Technology Services,On-Site Support,Network Gear Mount/Unmount,P3 - Planned,Ticket for mounting or unmounting any network device in the server rack.,
Technology Services,On-Site Support,Website Issue,P2 - General,Tickets related any website issue.,
Technology Services,On-Site Support,Item Retrieval,P3 - Planned,Any ticket related to the retrieval of and request to receive an asset from a resigned employee,
Technology Services,On-Site Support,Access Request,P3 - Planned,Request access/connection to the printer.,
Technology Services,On-Site Support,Change Toner,P3 - Planned,Request to change the printer toner.,
Technology Services,On-Site Support,Issue,P2 - General,Issue related to the printer.,
Technology Services,On-Site Support,Printing Services,P3 - Planned,Request to print or scan a document.,
Technology Services,On-Site Support,Set up,P3 - Planned,Request to setup a printer (physically setting up the printer).,
Technology Services,On-Site Support,Application Issue,P2 - General,Issues with any desktop application.,
Technology Services,On-Site Support,Application Installation/Uninstallation,P3 - Planned,Request to install/uninstall an application.,
Technology Services,On-Site Support,Configuration Assistance,P3 - Planned,Request to configure or update an application.,
Technology Services,On-Site Support,Hardphone Issue,P2 - General,Ticket for IP phone-related issues.,
Technology Services,On-Site Support,Softphone Issue,P1 - Critical | P2 - General,Ticket for 3CX softphone issues.,
Technology Services,On-Site Support,Setup,P3 - Planned,"Request to display a banner, image, videos, or movie Wednesday in the TV.",
Technology Services,On-Site Support,Digital Signage,P2 - General | P3 - Planned,Ticket related to KMC’s official digital signage software. (handled by the TV Ads Team),
Technology Services,On-Site Support,Removal,P3 - Planned,Request to remove an advertisement or other files displayed on the TV.,
Technology Services,Product Development,VMS ,P4 - Project | P3 - Planned | P2 - General,"Any request or issue related to access request, tablet issue, test tickets from Dev",
HR,People and Culture (Internal),OT Allowance reimbursement,P2 - People & Culture,Ticket for submission of reimbursable overtime allowance requests of eligible employees.,
HR,People and Culture (Internal),Reimbursable allowance (part of compensation),P1 - People & Culture,Requests for processing of reimbursable allowances that form part of employee compensation.,
HR,People and Culture (Internal),Endorsement for Salary Increase,P3 - People & Culture,Endorsements for salary increases of employees.,
HR,People and Culture (Internal),Endorsement for Promotion,P3 - People & Culture,"Endorsements for promotion, upward or vertical movement of employees.",
HR,People and Culture (Internal),Endorsement for Lateral Movement,P3 - People & Culture,Endorsements for lateral movements or transfers within the organization.,
HR,People and Culture (Internal),Endorsement for Communication Allowance,P3 - People & Culture,Ticket for submission of communication allowance reimbursement requirements including reimbursement form and receipts.,
HR,People and Culture (Internal),Other movement endorsement/process inquiries,P2 - People & Culture,Other movement endorsement or employee movement-related inquiries.,
HR,People and Culture (Internal),Certificate of Employment Request,P3 - People & Culture,Requests for certificates of employment of existing and former employee.,
HR,People and Culture (Internal),Non-Disclosure Agreement Request,P3 - People & Culture,Requests for issuance of non-disclosure agreements to specific employees.,
HR,People and Culture (Internal),Memo Request,P3 - People & Culture,"Any ticket related to requests for memos or internal communications within the organization. This involves announcements and memorandums for specific teams, departments, or organization-wide.",
HR,People and Culture (Internal),Employment Contract / Consultancy Agreement request,P1 - People & Culture,Requests for issuance of employment contracts or consultancy agreements for internal personnel.,
HR,People and Culture (Internal),Personal information update,P1 - People & Culture,"Requests to update personal information such as contact details, emergency contacts, or marital status in the HRIS.",
HR,People and Culture (Internal),Marriage Certificate/Birth Certificate/Death Certificate/Solo Parent ID upload,P1 - People & Culture,"Requests to upload official documents such as marriage certificates, birth certificates, death certificates, or Solo Parent IDs to the HRIS.",
HR,People and Culture (Internal),HRIS unlock request,P1 - People & Culture,Requests to unlock accounts or access in the HRIS.,
HR,People and Culture (Internal),HRIS approver change request,P1 - People & Culture,Request to change approvers or immediate supervisor assigned in the HRIS.,
HR,People and Culture (Internal),HRIS work schedule change request,P1 - People & Culture,Requests for changes on official work schedules assigned in the HRIS.,
HR,People and Culture (Internal),HRIS filing error / system glitch,P1 - People & Culture,Report errors or glitches in the HRIS.,
HR,People and Culture (Internal),Cancellation of Leave/Schedule Adjustment/Official Business,P1 - People & Culture,"Requests for cancelling leave applications, schedule adjustment applications, and official business applications.",
HR,People and Culture (Internal),Access level change,P1 - People & Culture,Requests for changes to access levels in the HRIS. This is usually applicable for first time people managers.,
HR,People and Culture (Internal),Location update,P1 - People & Culture,Tickets for updating location or office assignment details in the HRIS. This is necessary for accurate location tagging and correct payment of location-based holiday premium.,
HR,People and Culture (Internal),Other HRIS requests and inquiries,P1 - People & Culture,Tickets for any other requests or inquiries related to the HRIS that do not fit into the other categories.,
HR,People and Culture (Internal),Incident Report template,P1 - People & Culture,Request for incident report template.,
HR,People and Culture (Internal),Incident Report submission / Notice to Explain (NTE) issuance request,P5 - People & Culture,Submission of incident reports or requests for issuance of Notice to Explain (NTE) documents.,
HR,People and Culture (Internal),Employee Counselling Form (ECF) submission,P1 - People & Culture,Submission of Employee Counselling Forms (ECF) for HR records.,
HR,People and Culture (Internal),Return to Work Order Request,P1 - People & Culture,Request for return to work order for employees who have been on unauthorized leave or absence without official leave (AWOL).,
HR,People and Culture (Internal),Generic inquiries - individual contributor,P1 - People & Culture,"Generic inquiries from individual contributors regarding HR policies, benefits, procedures, or other related matters.",
HR,People and Culture (Internal),Team management-related inquiries - inquiries from people managers/leadership team (for People Managers only),P1 - People & Culture,"Inquiries from people managers related to team management, leadership, performance management, or other managerial responsibilities, specifically intended for people managers or the leadership team.",
HR,People and Culture (Internal),Certificate of Partial Completion,P3 - People & Culture,Requests for certificate of partial completion of interns enrolled in the internship program.,
HR,People and Culture (Internal),Certificate of Completion,P3 - People & Culture,Requests for certificate of completion of interns who successfully completed the internship program.,
HR,People and Culture (Internal),Internship allowance follow up,P3 - People & Culture,Follow ups or inquiries pertaining to internship allowances.,
HR,People and Culture (Internal),Checking of current internship hours,P3 - People & Culture,Inquiries related to checking of  internship hours or tracking progress during the internship program.,
HR,People and Culture (Internal),Other Internship Inquiries,P1 - People & Culture,Any other inquiries related to internships that do not fit into the other categories.,
HR,People and Culture (Internal),Paternity leave,P2 - People & Culture,"Tickets related to inquiries, requests, or processing of paternity leave benefits for eligible employees.",
HR,People and Culture (Internal),Bereavement benefit,P1 - People & Culture,"Tickets related to inquiries, requests, or processing of bereavement benefits based on exisitng bereavement guidelines.",
HR,People and Culture (Internal),Solo parent leave,P2 - People & Culture,"Tickets related to inquiries, requests, or processing of solo parent leave benefits for eligible employees.",
HR,People and Culture (Internal),Maternity benefit,P2 - People & Culture,"Tickets related to inquiries, requests, or processing of maternity leave benefits for eligible employees.",
HR,People and Culture (Internal),Company-initiated leave benefit,P1 - People & Culture,Tickets related to inquiries or requests regarding company-intiated or standard KMC leave benefits.,
HR,People and Culture (Internal),Special leave for women and other leave benefits,P2 - People & Culture,"Tickets related to inquiries, requests, or processing of special leave benefits for women and other leave benefits that do not fall under the other categories.",
HR,People and Culture (Internal),Compensatory Time Off,P1 - People & Culture,"Tickets related to compensatory time off requests, inquiries, or adjustments based on the existing Compensatory Time Off Guidelines.",
HR,People and Culture (Internal),All mental health-related inquiries/requests,P2 - People & Culture,"Tickets related to inquiries or requests concerning mental health support, benefits, resources and policies.",
HR,People and Culture (Internal),Request for Bonus / Incentive Computation,P2 - People & Culture,Tickets for requesting computation or clarification of bonuses or incentives.,
HR,People and Culture (Internal),Request for Sample Payout Computation,P1 - People & Culture,"Tickets for requesting sample computations or estimates of payouts, such as bonuses or final pay.",
HR,People and Culture (Internal),Pay dispute/payroll concern,P2 - People & Culture,"Tickets for addressing disputes or concerns regarding pay, payroll processing, or discrepancies.",
HR,People and Culture (Internal),Request for Computation of Final Pay,P1 - People & Culture,Tickets for requesting computation of final pay for terminated or resigning employees.,
HR,People and Culture (Internal),Request for Computation of Intern Allowance,P2 - People & Culture,Tickets for requesting computation of allowances or stipends for interns.,
HR,People and Culture (Internal),Verification of Salary Range Status,P1 - People & Culture,Tickets for verifying the status or details of an employee's salary range or band.,
HR,People and Culture (Internal),Request for Issuance of Authorization To Deduct,P1 - People & Culture,Tickets for requesting the issuance of authorization to deduct forms for various purposes.,
HR,People and Culture (Internal),Concerns Related to Sprout and Savii Loans,P1 - People & Culture,"Tickets for addressing concerns or inquiries related to Sprout and Savii loans, including application, repayment, terms, or eligibility.",
HR,People and Culture (Internal),Other Payroll-related concerns,P1 - People & Culture,"Tickets for addressing payroll-related concerns not covered by specific categories, such as tax inquiries, deductions, or adjustments.",
HR,People and Culture (Internal),Submission of Reimbursement Form and Receipts,P2 - People & Culture,Requests for processing of reimbursable allowances that form part of employee compensation.,
HR,People and Culture (Internal),3rd Month Performance Review upload,P1 - People & Culture,Submission of 3rd month performance review documents or evaluations for upload in HRIS.,
HR,People and Culture (Internal),5th Month Performance Review upload,P1 - People & Culture,Submission of 5th month performance review documents or evaluations for upload in HRIS.,
HR,People and Culture (Internal),Request for Performance Review Form,P1 - People & Culture,Requests for performance review forms or templates for employee evaluations.,
HR,People and Culture (Internal),Coaching Logs upload,P1 - People & Culture,Submission of coaching logs or feedback records for upload in HRIS.,
HR,People and Culture (Internal),Request for Coaching Logs Form,P1 - People & Culture,Requests for coaching log forms or templates for documenting employee coaching sessions.,
HR,People and Culture (Internal),Performance Improvement Plan Inquiry/Orientation,P2 - People & Culture,Inquiries related to Performance Improvement Plans (PIPs) designed to help employees improve their performance.,
HR,People and Culture (Internal),Failed Probationary Period / End of Probationary Notice,P2 - People & Culture,Tickets related to employees who have failed their probationary period or are receiving notices regarding the end of their probationary period.,
HR,People and Culture (Internal),Other performance-related inquiries,P1 - People & Culture,"Tickets for inquiries related to performance management, evaluations, feedback, or any other performance-related matters not covered by specific categories.",
HR,People and Culture (Internal),Simple Reports,P3 - People & Culture,"Tickets for requesting or generating simple, straightforward reports that do not require extensive data analysis or interpretation.",
HR,People and Culture (Internal),Complex Reports / Reports Requiring Analytics,P5 - People & Culture,"Tickets for requesting or generating complex reports that involve data analysis, interpretation and/or recommendation.",
HR,People and Culture (Internal),Offboarding request (for People Managers only),P1 - People & Culture,Tickets for People Managers to initiate offboarding processes for resigned employees.,
HR,People and Culture (Internal),Computation of remaining leave credits,P1 - People & Culture,Tickets for employees requesting the computation of their remaining leave credits upon separation.,
HR,People and Culture (Internal),Clearance follow up,P1 - People & Culture,"Follow ups or status checks on the clearance of departing employees, ensuring all necessary steps are completed.",
HR,People and Culture (Internal),Offboarding-related inquiries,P1 - People & Culture,"Tickets for inquiries related to offboarding processes, procedures, documentation, or other related matters.",
HR,People and Culture (Internal),Request for Online Certification of Government Loan Application,P2 - People & Culture,"Tickets for requesting online certification of government loan applications, such as Pag-IBIG or SSS loans.",
HR,People and Culture (Internal),Request for Continuation of Government Loan from Previous Employer,P2 - People & Culture,"Tickets for requesting continuation of government loans from a previous employer, such as Pag-IBIG or SSS loans.",
HR,People and Culture (Internal),Request for Certificate of Contribution - SSS|Philhealth|Pag-Ibig,P2 - People & Culture,"Tickets for requesting certificates of contribution for SSS, PhilHealth, or Pag-IBIG contributions.",
HR,People and Culture (Internal),Request for Manual Certification of Pag-Ibig Loan Application,P2 - People & Culture,Tickets for requesting manual certification of Pag-IBIG loan applications.,
HR,People and Culture (Internal),Request for Philhealth forms (for hospitalization purposes),P1 - People & Culture,Tickets for requesting PhilHealth forms for hospitalization purposes.,
HR,People and Culture (Internal),Request for Increase in Pag-Ibig Contribution,P1 - People & Culture,Tickets for requesting an increase in Pag-IBIG contributions.,
HR,People and Culture (Internal),Request for Salary Deduction of MP2 savings,P1 - People & Culture,Tickets for requesting salary deductions for Pag-IBIG MP2 savings.,
HR,People and Culture (Internal),Request for TIN Verification,P1 - People & Culture,Tickets for requesting verification of Taxpayer Identification Numbers (TINs).,
HR,People and Culture (Internal),"Other SSS, Philhealth, Pag-Ibig, and BIR Concerns",P1 - People & Culture,"Tickets for inquiries or requests related to other concerns regarding SSS, PhilHealth, Pag-IBIG, or BIR.",
HR,People and Culture (Internal),Eligibility for Rehire (for Talent Acquisition Only),P2 - People & Culture,"Tickets regarding inquiries or requests for determining an individual's eligibility for rehire, to be handled exclusively by the Talent Acquisition team.",
HR,People and Culture (Internal),Credit Card/Cash Advance Limit (for Finance Only),P2 - People & Culture,"Tickets pertaining to inquiries or requests regarding credit card or cash advance limits, specifically designated for the Finance team's attention.",
HR,People and Culture (Internal),All other concerns raised to C&B Internal that do not fall under the above categories,P2 - People & Culture,"Tickets categorized as ""Other Concerns"" raised to the Compensation and Benefits (C&B) Internal team encompass inquiries, requests, or issues that do not align.",
HR,Training (People Experience),PEX Training Request (Internal),Priority 3,"""Please indicate the number of participants and their names.

RATIONALE: Why do you need to attend this program?

EXPECTED RESULT: What learning should you get from the program?

Please attach any supporting documents, program details, approvals, etc.""",
HR,Training (People Experience),PEX Training Request (External),Priority 3,"""Please indicate the number of participants and their names.

RATIONALE: Why do you need to attend this program?

EXPECTED RESULT: What learning should you get from the program?

Please attach any supporting documents, program details, approvals, etc.""",
HR,Training (People Experience),PEX Training Report,Priority 2,"Please specify the details to be included in the training report (i.e. training hours, name of employee/s, etc.) and the purpose of the request",
HR,Training (People Experience),PEX Pubmats/Collaterals Request,Priority 3,Please specify the details to be included in the collaterals/pubmats and the purpose of the request,
Projects & Design,PM and Design,Urgent: RFA/RFI Response for Builds,Priority 2,Request for information context of construction or building projects to provide comprehensive infromation packet to address the outlined,
Projects & Design,PM and Design,RFA/RFI/Techinical Coordination,Priority 4,"providing request of infromation relevant to methodologies, specifications and details",
Projects & Design,PM and Design,Site Check,Priority 4,Requesting designer to visit a site to gather infroamation,
Projects & Design,PM and Design,OSM Checklist/Internal Dept Design Coordination Tasks,Priority 7,Owner Supply Material identifying the specification request in preparation for canvassing cost. ,
Projects & Design,PM and Design,PEZA Office Areas,Priority 2,Generates Peza office site square meter requirement for PEZA,
Projects & Design,PM and Design,PEZA As-built print signed and sealed,Priority 4,Generates request from PEZA renewal business permit requirements,
Projects & Design,PM and Design,Floorplan / Evacuation Plan Updating,Priority 5,Generates evacuation plans per site and request for update,
Projects & Design,PM and Design,Floorplan Copy Request,Priority 1,Floor plan request as updated and reference.,
Projects & Design,PM and Design,Canvass approval / Vendor Cost Approval (under 20k),Priority 3,"Approval and processing for Php 20,000.00 below purchase ",
Projects & Design,PM and Design,Canvassing OSM Alternatives,Priority 3,Canvassing other alternative options whether out of stock or value engineered ,
Projects & Design,PM and Design,Sourcing/Shopping/Site Accessorizing,Priority 4,"Sourcing design accessorizing (vases, plants and etc) request for build projects ",
Projects & Design,PM and Design,Construction Bond Refund,Priority 8,Securing of construction deposit/bond posted to the building landlords,
Projects & Design,PM and Design,Engineering Consultation,Priority 4,Technical consulation on PM side,
Projects & Design,PM and Design,Floorplan/As-built Review & Approval (Audit/BP/OP/),Priority 2,"Review of vetting, construction, built plans and similar drawings",
Projects & Design,PM and Design,New Build Implementation,Priority 8,Implementation of a new project,
Projects & Design,PM and Design,Non-Urgent: Info/Coordination Request,Priority 3,Non urgent request for information or details,
Projects & Design,PM and Design,Project Timeline Request,Priority 2,Request for gannt chart or milestones,
Projects & Design,PM and Design,Site Handover Acceptance (Pre & Post Construction),Priority 2,Handover of a completed project to other entities,
Projects & Design,PM and Design,Site Punchlist Walkthrough/ Handover Assessment,Priority 1,Facilitating of punchlist though a walktrough on a scheduled day,
Projects & Design,PM and Design,Testfit Implementation,Priority 8,new small scale project implementation,
Projects & Design,PM and Design,Urgent: Info/Coordination Request,Priority 2,Urgent request for information or details,
Projects & Design,PM and Design,Planradar App Punchlist Updating,Priority 2,Updating/raising additional punchlsit items on planradar app,
Projects & Design,PM and Design,Progress Billing Evaluation & Signature,Priority 2,Request for review and checking of the progress billing by vendors,
Projects & Design,PM and Design,New Material Review,Priority 2,Review and assessment of the new product to be employed in our potential project,
Projects & Design,PM and Design,Methodology Request,Priority 3,Method of statment for a particular execution of scope of works,
Projects & Design,PM and Design,COC Evaluation & Signature,Priority 3,Review of all requirments prior to sugning of the certificate of completion by the vendors,
Projects & Design,PM and Design,Initial Testfit (New Build / Refresh),Priority 3,New build testfit request ,
Projects & Design,PM and Design,Initial Testfit (Office Modification),Priority 3,office Space testfit request ,
Projects & Design,PM and Design,Revise Testfit (New Build/ Refresh),Priority 2,Revise testfit due to commented,
Projects & Design,PM and Design,Revise Testfit (Office Modification),Priority 2,Revise testfit due to client's comment as submitted from the first request,
Projects & Design,PM and Design,Technical Detail Drawing Request,Priority 4,Drawing request for technical and detialed request.,
Projects & Design,PM and Design,3D Walkthrough,Priority 6,Request walkthrough and VR view of prepared 3d skecthup,
Projects & Design,PM and Design,Render (2 to 3 views),Priority 6,3D request rendered perspective view,
Technology Services,Product Development,Manatal,P4 - Project | P3 - Planned | P2 - General,"Any request or issue related to recruiter update, job request approver update, manatal sync issue, test tickets from Dev",
Technology Services,Product Development,Diagram Creation/Update,P3 - Planned,"Any ticket task to create or update a diagram (network, power, rack, etc)",
Technology Services,Product Development,Floorplan Creation/Update,P3 - Planned,Any ticket task to create or update a floorplan,
Technology Services,Product Development,Infographics,P3 - Planned,Any ticket task to create or update an infographic or job aid,
Technology Services,Product Development,Knowledgebase,P3 - Planned,Any ticket task to create or update a knowledgebase,
Technology Services,Product Development,Other Documentations,P3 - Planned,Any ticket related to documentations that are not available in this category,
Technology Services,Product Development,Process Plan,P3 - Planned,Any ticket task to create a new process plan,
Technology Services,Product Development,Process Update,P3 - Planned,Any ticket task to update an existing process plan,
Technology Services,Product Development,ACS,P3 - Planned,Any ticket requesting shadowing with the ACS Team,
Technology Services,Product Development,Asset Management,P3 - Planned,Any ticket requesting shadowing with the Asset Team,
Technology Services,Product Development,CCTV,P3 - Planned,Any ticket requesting shadowing with the CCTV Team,
Technology Services,Product Development,Network,P3 - Planned,Any ticket requesting shadowing with the NOC,
Technology Services,Product Development,OSS / Deployment,P3 - Planned,Any ticket requesting shadowing with the OSS and Deployment Team,
Technology Services,Product Development,PCO,P3 - Planned,Any ticket requesting shadowing with the PCO,
Technology Services,Product Development,Procurement,P3 - Planned,Any ticket requesting shadowing with the Procurement Team,
Technology Services,Product Development,Product Development,P3 - Planned,Any ticket requesting shadowing with the Dev Team,
Technology Services,Product Development,Service Desk,P3 - Planned,Any ticket requesting shadowing with the Service Desk Team,
Technology Services,Product Development,Systems,P3 - Planned,Any ticket requesting shadowing with the Server Team,
Technology Services,Product Development,TPMO,P3 - Planned,Any ticket requesting shadowing with the TPMO,
Technology Services,Product Development,Voice / Email,P3 - Planned,Any ticket requesting shadowing with the Voice and Email Team,
Technology Services,Product Development,System Outage,P1 - Critical,Any outage ticket related to web portals and applications that the KMC Dev Team maintains,
Technology Services,Product Development,Vulnerability Assessment,P2 - General,Any tickets associated with the assessment and identification of vulnerabilities in web applications. Mostly an internally planned/scheduled evaluation. ,
Technology Services,Product Development,Vulnerability Remediation,P2 - General,Any tickets associated with concerns or findings in Web/Applications that require resolution from either the SOC (Security Operations Center) or the Development Team.,
